v1,v2,,,
,No..but heard abt tat..,,,
,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,,,
,&lt;#&gt;  am I think? Should say on syllabus,,,
,Umma. Did she say anything,,,
,Give me a sec to think think about it,,,
,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,,,
,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,,,
,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",,,
,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",,,
,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,,,
,"I just got home babe, are you still awake ?",,,
,I dunno they close oredi not... ÌÏ v ma fan...,,,
,Just buy a pizza. Meat lovers or supreme. U get to pick.,,,
,"Ya, told..she was asking wats matter?",,,
,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",,,
,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,,,
,Shall i send that exe to your mail id.,,,
,Nope watching tv at home... Not going out. V bored...,,,
,Don know..wait i will check it.,,,
,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",,,
,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,,,
,We still on for tonight?,,,
,May i call You later Pls,,,
,Hasn't that been the pattern recently crap weekends?,,,
,I have a sore throat. It's scratches when I talk,,,
,Yes da. Any plm at ur office,,,
,Are you not around or just still asleep? :V,,,
,"Lol you forgot it eh ? Yes, I'll bring it in babe",,,
,"Its good, we'll find a way",,,
,Can not use foreign stamps in this country. Good lecture .,,,
,Yup bathe liao...,,,
,HAPPY NEW YEAR MY NO.1 MAN,,,
,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",,,
,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,,,
,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",,,
,"No my blankets are sufficient, thx",,,
,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",,,
,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",GN,GE,"GNT:-)"""
,They just talking thats it de. They wont any other.,,,
,Today am going to college so am not able to atten the class.,,,
,I'm in class. Will holla later,,,
,Easy ah?sen got selected means its good..,,,
,Mmm thats better now i got a roast down me! iåÕd b better if i had a few drinks down me 2! Good indian?,,,
,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",,,
,"Come round, it's . ",,,
,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",,,
,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",,,
,I walked an hour 2 c u! doesnåÕt that show I care y wont u believe im serious?,,,
,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,,,
,Are you available for soiree on June 3rd?,,,
,Do u noe wat time e place dat sells 4d closes?,,,
,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",,,
,Jay's getting really impatient and belligerent,,,
,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.,,,
,I'm at work. Please call,,,
,Then u drive lor.,,,
,Ard 515 like dat. Y?,,,
,Tell me they're female :V how're you throwing in? We're deciding what all to get now,,,
,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,,,
,I'm working technical support :)voice process.networking field.,,,
,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,,,
,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.,,,
,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,,,
,"That's fine, I'll bitch at you about it later then",,,
,No my mum went 2 dentist.,,,
,Once free call me sir. I am waiting for you.,,,
,Meeting u is my work. . . Tel me when shall i do my work tomorrow,,,
,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
,Jus finish bathing...,,,
,"alright, I'll make sure the car is back tonight",,,
,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,,,
,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,,,
,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,,,
,Aight ill get on fb in a couple minutes,,,
,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,,,
,Where can download clear movies. Dvd copies.,,,
,"Yep, by the pretty sculpture",,,
,Convey my regards to him,,,
,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,,,
,You tell what happen dont behave like this to me. Ok no need to say,,,
,Can u get pic msgs to your phone?,,,
,Send to someone else :-),,,
,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,,,
