,message,label,bow_results,sc_results
0,No..but heard abt tat..,0,0,0
1,Give me a sec to think think about it,0,0,0
2,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,1,0,0
3,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,0,0,0
4,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",0,0,0
5,Don know..wait i will check it.,0,0,0
6,Hasn't that been the pattern recently crap weekends?,0,0,0
7,Are you not around or just still asleep? :V,0,0,0
8,"Its good, we'll find a way",0,0,0
9,Yup bathe liao...,0,0,0
10,I'm in class. Will holla later,0,0,0
11,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.,0,0,0
12,I'm at work. Please call,0,0,1
13,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,1,0,0
14,Once free call me sir. I am waiting for you.,0,0,0
15,Jus finish bathing...,0,0,0
16,Aight ill get on fb in a couple minutes,0,0,0
17,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)",0,0,0
18,I don't think he has spatula hands!,0,0,0
19,You can never do NOTHING,0,0,0
20,Dear Subscriber ur draw 4 å£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062,1,1,1
21,NO GIFTS!! You trying to get me to throw myself off a cliff or something?,0,0,0
22,Black shirt n blue jeans... I thk i c Ì_...,0,0,0
23,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),0,0,0
24,So that means you still think of teju,0,0,0
25,"No I'm good for the movie, is it ok if I leave in an hourish?",0,0,0
26,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",1,0,0
27,Good morning princess! How are you?,0,0,0
28,Aiyar sorry lor forgot 2 tell u...,0,0,0
29,Not tonight mate. Catching up on some sleep. This is my new number by the way. ,0,0,0
30,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,1,0,1
31,"Sorry, I'll call later",0,0,0
32,K do I need a login or anything,0,0,0
33,Have you had a good day? Mine was really busy are you up to much tomorrow night?,0,0,0
34,I'm not driving... Raining! Then i'll get caught at e mrt station lor.,0,0,0
35,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,0,0,0
36,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up",0,0,0
37,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,0,0,0
38,Yun buying... But school got offer 2000 plus only...,0,0,0
39,Lol now I'm after that hot air balloon!,0,0,0
40,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,0,0,0
41,ÌÏ dun need to pick ur gf?,0,0,0
42,Yay! You better not have told that to 5 other girls either.,0,0,0
43,To day class is there are no class.,0,0,0
44,I'm in chennai velachery:),0,0,0
45,You flippin your shit yet?,0,0,0
46,"K give me a sec, breaking a  &lt;#&gt;  at cstore",0,0,0
47,"Yo, you around? Just got my car back",0,0,0
48,In that case I guess I'll see you at campus lodge,0,0,0
49,We're done...,0,0,0
50,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,0,0,0
51,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248,1,0,0
52,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,0,0,0
53,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",0,0,0
54,K..k..i'm also fine:)when will you complete the course?,0,0,0
55,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1,1,1
56,Prakesh is there know.,0,0,0
57,Rofl betta invest in some  anti aging products,0,0,0
58,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,0,0
59,"sir, you will receive the account no another 1hr time. Sorry for the delay.",0,0,0
60,Jus ans me lar. U'll noe later.,0,0,0
61,How much are we getting?,0,0,0
62,Is ur paper in e morn or aft tmr?,0,0,0
63,Now? I'm going out 4 dinner soon..,0,0,0
64,Hello which the site to download songs its urgent pls,0,0,0
65,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,0,0,0
66,Just wait till end of march when el nino gets himself. Oh.,0,0,0
67,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",0,0,0
68,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA,1,0,0
69,"Tee hee. Off to lecture, cheery bye bye.",0,0,0
70,Ok...,0,1,1
71,Wot u up 2 u weirdo?,0,0,0
72,Aiyah u did ok already lar. E nydc at wheellock?,0,0,0
73,TELL HER I SAID EAT SHIT.,0,0,0
74,Sure! I am driving but will reach my destination soon.,0,0,0
75,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,1,0,0
76,Why nothing. Ok anyway give me treat,0,0,0
77,Ok...,0,1,1
78,"Aight no rush, I'll ask jay",0,0,0
79,Aight sorry I take ten years to shower. What's the plan?,0,0,0
80,Might ax well im there.,0,0,0
81,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk",1,0,0
82,"Goodnight, sleep well da please take care pa. Please.",0,0,0
83,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,0,0,0
84,Alright. I'm out--have a good night!,0,0,0
85,Auntie huai juan never pick up her phone,0,0,0
86,"Ya tel, wats ur problem..",0,0,0
87,Oh ok..,0,1,1
88,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,0,0,0
89,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",1,0,1
90,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,0,0,0
91,Jay is snickering and tells me that x is totally fucking up the chords as we speak,0,0,0
92,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)""",0,0,0
93,No. She's currently in scotland for that.,0,0,0
94,Do you work all this week ?,0,0,0
95,I asked sen to come chennai and search for job.,0,0,0
96,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.",0,0,0
97,In fact when do you leave? I think addie goes back to school tues or wed,0,0,0
98,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)""",0,0,0
99,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,1,0,0
100,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,0,0,0
101,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Callså£1/minmoremobsEMSPOBox45PO139WA,1,0,0
102,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,0,0
103,I'm putting it on now. It should be ready for  &lt;TIME&gt; ,0,0,0
104,Sounds like something that someone testing me would sayy,0,0,0
105,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",0,0,0
106,I wonder if you'll get this text?,0,0,0
107,"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",1,0,1
108,Are you angry with me. What happen dear,0,0,0
109,Hi:)cts employee how are you?,0,0,0
110,Should I have picked up a receipt or something earlier,0,0,0
111,I think chennai well settled?,0,0,0
112,After completed degree. There is no use in joining finance.,0,0,0
113,Dude sux for snake. He got old and raiden got buff,0,0,0
114,He says hi and to get your ass back to south tampa (preferably at a kegger),0,0,0
115,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",0,0,0
116,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,0,0,0
117,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",0,0,0
118,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,0,0,0
119,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",0,0,0
120,K.then any other special?,0,0,0
121,Ok pa. Nothing problem:-),0,0,0
122,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,0,0,0
123,When you came to hostel.,0,0,0
124,Ok no prob... I'll come after lunch then...,0,0,0
125,Mm i had my food da from out,0,0,0
126,Did u download the fring app?,0,0,0
127,I am going to film 2day da. At 6pm. Sorry da.,0,0,0
128,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",1,0,0
129,Great comedy..cant stop laughing da:),0,0,0
130,U WILL SWITCH YOUR FONE ON DAMMIT!!,0,0,0
131,"Evening * v good if somewhat event laden. Will fill you in, don't you worry Û_ Head * ok but throat * wrecked. See you at six then!",0,0,0
132,"Yeah, where's your class at?",0,0,0
133,Lmao!nice 1,0,0,0
134,Okay... We wait ah,0,0,0
135,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,0,0,0
136,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,0,0,0
137,Please ask mummy to call father,0,0,0
138,"(No promises on when though, haven't even gotten dinner yet)",0,0,0
139,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,1,0,0
140,Yeah I don't see why not,0,0,0
