,message,label,bow_results,sc_results
0,Anything lor but toa payoh got place 2 walk meh...,0,0,0
1,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",1,0,1
2,"Yes obviously, but you are the eggs-pert and the potato headÛ_ Speak soon! ",0,0,0
3,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?",0,0,0
4,You can jot down things you want to remember later.,0,0,0
5,"Aight fuck it, I'll get it later",0,0,0
6,How much is blackberry bold2 in nigeria.,0,0,0
7,Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx,0,0,0
8,Y so late but i need to go n get da laptop...,0,0,0
9,Is there any training tomorrow?,0,0,0
10,"Trust me. Even if isn't there, its there.",0,0,0
11,Moji i love you more than words. Have a rich day,0,0,0
12,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50,1,0,0
13,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,0,0,0
14,Its a site to simulate the test. It just gives you very tough questions to test your readiness.,0,0,0
15,I fetch yun or u fetch?,0,0,0
16,Thank you. I like you as well...,0,0,0
17,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?",0,0,0
18,"It's that time of the week again, ryan",0,0,0
19,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),0,0,0
20,You do got a shitload of diamonds though,0,0,0
21,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),0,0,0
22,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",0,0,0
23,Well done and ! luv ya all ,0,0,0
24,After the drug she will be able to eat.,0,0,0
25,Hi kindly give us back our documents which we submitted for loan from STAPATI,0,0,0
26,Oh god i am happy to see your message after 3 days,0,0,0
27,"Thank you. And by the way, I just lost.",0,0,0
28,I wont. So wat's wit the guys,0,0,0
29,See? I thought it all through,0,0,0
30,And popping &lt;#&gt; ibuprofens was no help.,0,0,0
31,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",0,0,0
32,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,0,0,0
33,"(And my man carlos is definitely coming by mu tonight, no excuses)",0,0,0
34,soon you will have the real thing princess! Do i make you wet? :),0,0,0
35,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",0,0,0
36,"Hmm well, night night ",0,0,0
37,Nice talking to you! please dont forget my pix :) i want to see all of you...,0,0,0
38,I notice you like looking in the shit mirror youre turning into a right freak,0,0,0
39,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,0,0,0
40,If you have belive me. Come to my home.,0,0,0
41,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming,0,0,0
42,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is,0,0,0
43,Every day i use to sleep after  &lt;#&gt;  so only.,0,0,0
44,U buy newspapers already?,0,0,0
45,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,0,0,0
46,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,0,0,0
47,I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.,0,0,0
48,Did you show him and wot did he say or could u not c him 4 dust?,0,0,0
49,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,0,0,0
50,88066 FROM 88066 LOST 3POUND HELP,1,0,1
