,message,label,bow_results,sc_results
0,Even my brother is not like to speak with me. They treat me like aids patent.,0,0,0
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,0,1
2,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,0,0
3,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,0,0
4,Ffffffffff. Alright no way I can meet up with you sooner?,0,0,0
5,I see the letter B on my car,0,0,0
6,No calls..messages..missed calls,0,0,0
7,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,0,0
8,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,0,0
9,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0,0,0
10,Ha ha ha good joke. Girls are situation seekers.,0,0,0
11,Its a part of checking IQ,0,0,0
12,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,0,0
13,Finished class where are you.,0,0,0
14,U can call me now...,0,0,0
15,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,0,0
16,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,0,0
17,I'm really not up to it still tonight babe,0,0,0
18,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,0,0,0
19,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,0,0
20,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,1,1
21,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,0,0
22,What is the plural of the noun research?,0,0,0
23,Going for dinner.msg you after.,0,0,0
24,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,0,0
25,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,1,1
26,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,0,0
27,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,0,1
28,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,0,1
29,here is my new address -apples&pairs&all that malarky,0,0,0
30,ÌÏ predict wat time Ì_'ll finish buying?,0,0,0
31,I only haf msn. It's yijue@hotmail.com,0,0,0
32,He is there. You call and meet him,0,0,0
33,No no. I will check all rooms befor activities,0,0,0
34,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,0,0
35,"Sir, I need AXIS BANK account no and bank address.",0,0,0
36,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",0,0,0
37,U still going to the mall?,0,0,0
38,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,0,0
39,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,0,0
40,Hi :)finally i completed the course:),0,0,0
41,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0,0,0
42,Gud mrng dear hav a nice day,0,0,0
43,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0,0,0
44,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,0,0
45,"Aight yo, dats straight dogg",0,0,0
46,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0,0,0
47,Yup... How Ì_ noe leh...,0,0,0
48,I have printed it oh. So  &lt;#&gt;  come upstairs,0,0,0
49,Tomarrow final hearing on my laptop case so i cant.,0,0,0
50,U don't remember that old commercial?,0,0,0
51,I asked you to call him now ok,0,0,0
52,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",0,0,0
53,IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?,0,0,0
54,Yup,0,1,1
55,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,0,0,0
56,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,1,0,0
