,message,label,bow_results,sc_results
0,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q,1,0,1
1,"Hm good morning, headache anyone? :-)",0,0,0
2,Yeah no probs - last night is obviously catching up with you... Speak soon ,0,0,0
3,I might go 2 sch. Yar at e salon now v boring.,0,0,0
4,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",0,0,0
5,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -,0,0,0
6,Am in film ill call you later.,0,0,0
7,I love ya too but try and budget your money better babe. Gary would freak on me if he knew,0,0,0
8,"What part of \don't initiate\"" don't you understand""",0,0,0
9,You have got tallent but you are wasting.,0,0,0
10,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,0,0,0
11,Aight what time you want me to come up?,0,0,0
12,Your bill at 3 is å£33.65 so thats not bad!,0,0,0
13,Die... Now i have e toot fringe again...,0,0,0
14,"Sounds good, keep me posted",0,0,0
15,Somebody should go to andros and steal ice,0,0,0
16,Don know. I did't msg him recently.,0,0,0
17,"Yo, you at jp and hungry like a mofo?",0,0,0
18,Pathaya enketa maraikara pa',0,0,0
19,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,0,0,0
20,Just haven't decided where yet eh ?,0,0,0
21,"Wat time liao, where still got.",0,0,0
22,Stop knowing me so well!,0,0,0
23,Good evening! this is roger. How are you?,0,0,0
24,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,1,0,0
25,"Haha better late than ever, any way I could swing by?",0,0,0
26,Ok going to sleep. Hope i can meet her.,0,0,0
27,Is ur lecture over?,0,0,0
28,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-),0,0,0
29,\SHIT BABE.. THASA BIT MESSED UP.YEH,0,0,0
30,"\CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDåÕS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.\""""",0,0,0
31,Yo! Howz u? girls never rang after india. L,0,0,0
32,Yeah but which is worse for i,0,0,0
33,Ok...,0,1,1
34,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE,0,0,0
35,Are you up for the challenge? I know i am :),0,0,0
36,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie,0,0,0
37,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",0,0,0
38,"Haven't seen my facebook, huh? Lol!",0,0,0
39,K k :-):-) then watch some films.,0,0,0
40,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,1,0,1
41,7 lor... Change 2 suntec... Wat time u coming?,0,0,0
42,We got a divorce. Lol. She.s here,0,0,0
43,Sorry da thangam.it's my mistake.,0,0,0
44,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",0,0,0
45,Yup Ì_ not comin :-(,0,0,0
46,"Yes, princess. Toledo.",0,0,0
47,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.,0,0,0
48,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",0,0,0
49,HI ITS KATE CAN U GIVE ME A RING ASAP XXX,0,0,0
50,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...,0,0,0
51,K actually can you guys meet me at the sunoco on howard? It should be right on the way,0,0,0
52,Hey tmr maybe can meet you at yck,0,0,0
53,Not to worry. I'm sure you'll get it.,0,0,0
54,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,1,0,0
55,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,1,0,0
56,Okie Ì_ wan meet at bishan? Cos me at bishan now. I'm not driving today.,0,0,0
57,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",1,0,0
58,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,0,0,0
59,Yo im right by yo work,0,0,0
60,"Sorry, got a late start, we're on the way",0,0,0
61,"Like I made him throw up when we were smoking in our friend's car one time, it was awesome",0,0,0
62,Still i have not checked it da. . .,0,0,0
63,At what time are you coming.,0,0,0
64,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. ,0,0,0
65,"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..",0,0,0
66,Can... I'm free...,0,0,0
67,I am waiting for your call sir.,0,0,0
68,Hey what are you doing. Y no reply pa..,0,0,0
69,"Hey elaine, is today's meeting still on?",0,0,0
70,:) ,0,1,1
71,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",0,0,0
72,Dear umma she called me now :-),0,0,0
73,"Well, I meant as opposed to my drunken night of before",0,0,0
74,O. Guess they both got screwd,0,0,0
75,"I'm in a meeting, call me later at",0,0,0
76,URGENT! Your Mobile number has been awarded with a å£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,1,0,1
77,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1,0,1
78,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,1,1,1
79,No pic. Please re-send.,0,0,0
80,He remains a bro amongst bros,0,0,0
81,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,1,0,0
82,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,1,0,0
83,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...",0,0,0
84,Sending you greetings of joy and happiness. Do have a gr8 evening,0,0,0
85,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only,1,0,0
86,Its  &lt;#&gt; k here oh. Should i send home for sale.,0,0,0
87,Ya just telling abt tht incident..,0,0,0
88,My phone,0,1,1
89,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,0,0,0
90,Change windows logoff sound..,0,0,0
91,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,1,0,1
92,I will come to ur home now,0,0,0
93,Free any day but i finish at 6 on mon n thurs...,0,0,0
94,Are you willing to go for apps class.,0,0,0
95,\HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY,0,0,0
96,Should i send you naughty pix? :),0,0,0
97,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!",1,0,0
98,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",0,0,0
99,Good evening! How are you?,0,0,0
100,I'm at home. Please call,0,0,1
101,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*",0,0,0
102,If you are not coughing then its nothing,0,0,0
103,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",0,0,0
104,"Dad wanted to talk about the apartment so I got a late start, omw now",0,0,0
105,Din i tell u jus now 420,0,0,0
106,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost å£1.50 min MobcudB more,1,0,0
107,I had it already..sabarish asked me to go..,0,0,0
108,Do you always celebrate NY's with your family ?,0,0,0
109,Its ok..come to my home it vl nice to meet and v can chat..,0,0,0
110,But you dint in touch with me.,0,0,0
111,"Sorry, I'll call later",0,0,0
112,Congratulations YOU'VE Won. You're a Winner in our August å£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,1,0,0
113,I know you mood off today,0,0,0
114,"That means you got an A in epi, she.s fine. She.s here now.",0,0,0
115,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",0,0,0
116,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,0,0,0
117,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.,0,0,0
118,Thank you princess! You are so sexy...,0,0,0
119,Carlos says we can pick up from him later so yeah we're set,0,0,0
120,"Hey babe, my friend had to cancel, still up for a visit ?",0,0,0
121,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,0,0
