,message,label,bow_results,sc_results
0,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,0,0,0
1,", ow u dey.i paid 60,400thousad.i told  u would call . ",0,0,0
2,I'm reaching home in 5 min.,0,0,0
3,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,1,1
4,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...,0,0,0
5,"Yes, princess. Are you going to make me moan?",0,0,0
6,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",0,0,0
7,I'm very happy for you babe ! Woo hoo party on dude!,0,0,0
8,Wot u up 2? Thout u were gonna call me!! Txt bak luv K,0,0,0
9,How are you holding up?,0,0,0
10,Win a å£1000 cash prize or a prize worth å£5000,1,0,0
11,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",1,0,0
12,Ok ok take care. I can understand.,0,0,0
13,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.,0,0,0
14,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!",1,0,0
15,Hi dear we saw dear. We both are happy. Where you my battery is low,0,0,0
16,How are you. Its been ages. How's abj,0,0,0
17,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",0,0,0
18,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",1,0,0
19,I remain unconvinced that this isn't an elaborate test of my willpower,0,0,0
20,how are you? I miss you!,0,0,0
21,i am going to bed now prin,0,0,0
22,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm,1,0,1
23,Yunny... I'm goin to be late,0,0,0
24,"Cool, want me to go to kappa or should I meet you outside mu",0,0,0
25,"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",1,0,0
26,And by when you're done I mean now,0,0,0
27,Leave it wif me lar... ÌÏ wan to carry meh so heavy... Is da num 98321561 familiar to Ì_?,0,0,0
28,Haf u eaten? Wat time u wan me 2 come?,0,0,0
29,This single single answers are we fighting? Plus i said am broke and you didnt reply,0,0,0
30,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.",1,0,0
31,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,0,0,0
32,And pls pls drink plenty plenty water,0,0,0
33,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or å£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",1,0,1
34,Dear got bus directly to calicut,0,0,0
35,&lt;#&gt;  w jetton ave if you forgot,0,0,0
36,Can not use foreign stamps in this country.,0,0,0
37,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost å£1.50. 2 cancel send STOP",1,0,0
38,No dear i was sleeping :-P,0,0,0
39,Actually i'm waiting for 2 weeks when they start putting ad.,0,0,0
40,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\""",0,0,0
41,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.,0,0,0
42,I'm at home. Please call,0,1,1
43,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription",1,0,0
44,Lol wtf random. Btw is that your lunch break,0,0,0
45,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,0,0,0
46,"How about clothes, jewelry, and trips?",0,0,0
47,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,0,0,0
48,SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,0,0,0
49,Beauty sleep can help ur pimples too.,0,0,0
50,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,0,0,0
51,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,1,0,1
52,Haiyoh... Maybe your hamster was jealous of million,0,0,0
53,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",1,1,1
54,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,0,0
55,U can call now...,0,0,0
56,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-),0,0,0
57,Hey mr whats the name of that bill brison book the one about language and words ,0,0,0
58,You best watch what you say cause I get drunk as a motherfucker,0,0,0
59,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",1,1,1
